cod_localidad;localidad;cod_prov;provincia;zona_cod;zona_descr;region_cod;region_descr;amba_interior;region_pais_cod;departamento;cp
651;William Morris;8;Cap & Gba;5;GBA OESTE;6;CAP & GBA;AMBA;1;Hurlingham;1686
652;Yerba Buena;13;Tucuman;9;NOA;9;NOA Sur;INTERIOR;2;Yerba Buena;5265
653;Zapala;16;Neuquen;12;Sur;5;Sur;INTERIOR;2;Picunches;8340
565;Tres Arroyos;14;Buenos Aires;12;Sur;7;PBA;INTERIOR;2;Tres Arroyos;7500
567;Tres de Febrero;8;Cap & Gba;5;GBA OESTE;6;CAP & GBA;AMBA;1;Tres De Febrero;1652
568;Trevelin;7;Chubut;12;Sur;5;Sur;INTERIOR;2;Futaleufú;9203
572;Tucuman;13;Tucuman;9;NOA;9;NOA Sur;INTERIOR;2;Capital;4000
573;Tunuyan;1;Mendoza;3;Cuyo;1;Cuyo;INTERIOR;2;Tunuyán;5560
574;Tupungato;1;Mendoza;3;Cuyo;1;Cuyo;INTERIOR;2;Tupungato;5561
575;Unquillo;3;Córdoba;2;Córdoba;2;Córdoba;INTERIOR;2;Colón;5109
576;Ushuaia;23;Tierra Del Fuego;12;Sur;5;Sur;INTERIOR;2;Ushuaia;9410
578;Valle Hermoso;3;Córdoba;2;Córdoba;2;Córdoba;INTERIOR;2;Punilla;5168
579;Vedia;8;Cap & Gba;1;CAP FED;6;CAP & GBA;AMBA;1;Leandro N. Alem;6030
554;Tartagal;6;Salta;9;NOA;8;NOA Norte;INTERIOR;2;General José de San Martín;4560
555;Temperley;8;Cap & Gba;6;GBA SUR;6;CAP & GBA;AMBA;1;Lomas de Zamora;1834
556;Tigre;8;Cap & Gba;4;GBA NORTE;6;CAP & GBA;AMBA;1;Tigre;1648
557;Tilisarao;4;San Luis;3;Cuyo;1;Cuyo;INTERIOR;2;Chacabuco;5773
558;Tinogasta;25;La Rioja;9;NOA;9;NOA Sur;INTERIOR;2;Arauco;5310
560;Tornquist;14;Buenos Aires;12;Sur;5;Sur;INTERIOR;2;Tornquist;8160
561;Tortuguitas;8;Cap & Gba;4;GBA NORTE;6;CAP & GBA;AMBA;1;Malvinas Argentinas;1667
0641201003;Tortuguitas;8;Cap & Gba;4;GBA NORTE;6;GBA NORTE;AMBA;1;Malvinas Argentinas;1667
562;Totoras;2;Santa Fe;11;Rosario;3;Rosario;INTERIOR;2;Iriondo;2000
564;Trenque Lauquen;14;Buenos Aires;12;Sur;7;PBA;INTERIOR;2;Trenque Lauquen;6400
580;Velez Sarfield;8;Cap & Gba;1;CAP FED;6;CAP & GBA;AMBA;1;Comuna 10;1407
582;Venado Tuerto;2;Santa Fe;11;Rosario;3;Rosario;INTERIOR;2;General Lopez;2600
583;Versalles;8;Cap & Gba;1;CAP FED;6;CAP & GBA;AMBA;1;Comuna 10;1408
584;Viale;17;Entre Rios;7;Litoral;10;Litoral;INTERIOR;2;Paraná;3109
585;Vicente Lopez;8;Cap & Gba;4;GBA NORTE;6;CAP & GBA;AMBA;1;Vicente López;1638
587;Victoria;8;Cap & Gba;4;GBA NORTE;6;CAP & GBA;AMBA;1;Victoria;1644
588;Viedma;5;Rio Negro;12;Sur;5;Sur;INTERIOR;2;Adolfo Alsina;8500
589;Villa Adelina;8;Cap & Gba;4;GBA NORTE;6;CAP & GBA;AMBA;1;Vicente López;1607
590;Villa Allende;3;Córdoba;2;Córdoba;2;Córdoba;INTERIOR;2;Colón;5105
542;Sebastian Elcano;3;Córdoba;2;Córdoba;2;Córdoba;INTERIOR;2;Río Seco;5231
543;Seguí;17;Entre Rios;7;Litoral;10;Litoral;INTERIOR;2;Paraná;3117
544;Sexta Seccion;1;Mendoza;3;Cuyo;1;Cuyo;INTERIOR;2;Sexta Seccion;5500
545;Sierra Grande;5;Rio Negro;12;Sur;5;Sur;INTERIOR;2;San Antonio;8532
548;Sumampa;11;Santiago Del Estero;9;NOA;8;NOA Norte;INTERIOR;2;Quebrachos;4722
551;Tafi Viejo;13;Tucuman;9;NOA;9;NOA Sur;INTERIOR;2;Tafí Viejo;4103
552;Tandil;14;Buenos Aires;12;Sur;7;PBA;INTERIOR;2;Tandil;7000
530;Santa Cruz;22;Santa Cruz;12;Sur;5;Sur;INTERIOR;2;Corpen Aike;5201
531;Santa Fe;2;Santa Fe;7;Litoral;10;Litoral;INTERIOR;2;Santa Fe;3000
532;Santa Maria de Punilla;3;Córdoba;2;Córdoba;2;Córdoba;INTERIOR;2;Punilla;5164
533;Santa Rosa;20;La Pampa;12;Sur;7;PBA;INTERIOR;2;Capital;7303
534;Santa Rosa de Calamuchita;3;Córdoba;2;Córdoba;2;Córdoba;INTERIOR;2;Calamuchita;5196
535;Santa Rosa de Rio Primero;3;Córdoba;2;Córdoba;2;Córdoba;INTERIOR;2;Río Primero;5133
536;Santiago Del Estero;11;Santiago Del Estero;9;NOA;8;NOA Norte;INTERIOR;2;Capital;4200
537;Santiago Temple;3;Córdoba;2;Córdoba;2;Córdoba;INTERIOR;2;Río Segundo;5125
538;Santo Tome;2;Santa Fe;7;Litoral;10;Litoral;INTERIOR;2;Santo Tomé;3340
539;Santos Lugares;8;Cap & Gba;5;GBA OESTE;6;CAP & GBA;AMBA;1;Tres de Febrero;3403
540;Sarandi;8;Cap & Gba;6;GBA SUR;6;CAP & GBA;AMBA;1;Avellaneda;1872
541;Sarmiento;7;Chubut;12;Sur;5;Sur;INTERIOR;2;Sarmiento;3700
519;San Nicolás;8;Cap & Gba;1;CAP FED;6;CAP & GBA;AMBA;1;Comuna 1;2900
520;San Nicolas de Los Arroyos;14;Buenos Aires;13;PBA;7;PBA;INTERIOR;2;San Nicolás;2900
521;San Pedro;8;Cap & Gba;4;GBA NORTE;6;CAP & GBA;AMBA;1;San Pedro;2930
522;San Rafael;1;Mendoza;3;Cuyo;1;Cuyo;INTERIOR;2;San Rafael;5260
523;San Ramon de La Nueva Oran;6;Salta;9;NOA;8;NOA Norte;INTERIOR;2;Orán;4530
524;San Roque;10;Corrientes;8;NEA;4;NEA;INTERIOR;2;San Roque;6017
525;San Salvador;17;Entre Rios;7;Litoral;10;Litoral;INTERIOR;2;San Salvador;3218
526;San Salvador de Jujuy;9;Jujuy;9;NOA;8;NOA Norte;INTERIOR;2;Dr. Manuel Belgrano;4600
527;San Telmo;8;Cap & Gba;1;CAP FED;6;CAP & GBA;AMBA;1;Comuna 1;1063
528;San Vicente;8;Cap & Gba;6;GBA SUR;6;CAP & GBA;AMBA;1;San Alberto;1865
529;Santa Clara;14;Buenos Aires;12;Sur;11;Costa;INTERIOR;2;Mar Chiquita;1849
509;San Juan;12;San Juan;3;Cuyo;1;Cuyo;INTERIOR;2;Capital;3611
510;San Julian;22;Santa Cruz;12;Sur;5;Sur;INTERIOR;2;Magallanes;7613
511;San Justo;8;Cap & Gba;5;GBA OESTE;6;CAP & GBA;AMBA;1;San Justo;1754
512;San Lorenzo;2;Santa Fe;11;Rosario;3;Rosario;INTERIOR;2;San Lorenzo;3158
